candidate_id,formula_pretty,chemsys,origin_requested_chemsys,matched_query_chemsys,retrieval_mode,requested_overlap_score,n_elements,assigned_family,family_match,complexity_score,complexity_threshold,passed_complexity_gate,rejection_stage,rejection_reason,survives_baseline,case_id
mp-1221846,Mn4Cr(Co2Si)5,Co-Cr-Mn-Si,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,4,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1221808,Mn4Cr(Co2Sn)5,Co-Cr-Mn-Sn,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,4,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1222191,Mn4Cr(GaCo2)5,Co-Cr-Ga-Mn,Co-Cr-Ni,Co+Cr,fallback_cobalt_pair_window,2,4,Excluded,False,,,,retrieval_acceptance,Pair-window candidate does not preserve the requested distinguishing element.,False,hot_section_creep_am
mp-1229050,Al18Co5Ni3,Al-Co-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate family does not match the requested family.,False,hot_section_creep_am
mp-1228913,Al2CoNi,Al-Co-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate family does not match the requested family.,False,hot_section_creep_am
mp-1228742,Al9Co2Ni,Al-Co-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate family does not match the requested family.,False,hot_section_creep_am
mp-1214804,AlCo2Ni,Al-Co-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate family does not match the requested family.,False,hot_section_creep_am
mp-1214822,AlCo2Ni,Al-Co-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate family does not match the requested family.,False,hot_section_creep_am
mp-1228972,AlCoNi6,Al-Co-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate family does not match the requested family.,False,hot_section_creep_am
mp-867271,Be2CoNi,Be-Co-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226458,Co3NiSb12,Co-Ni-Sb,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1106327,Co4NiSb12,Co-Ni-Sb,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226203,CoNi2Sn,Co-Ni-Sn,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate family does not match the requested family.,False,hot_section_creep_am
mp-1079542,CoNiAs,As-Co-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226009,CoNiAs2,As-Co-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226018,CoNiAs4,As-Co-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226015,CoNiGe,Co-Ge-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226021,CoNiGe,Co-Ge-Ni,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate contains non-target chemistry for this broader recovery step.,False,hot_section_creep_am
mp-1226004,CoNiPt2,Co-Ni-Pt,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate family does not match the requested family.,False,hot_section_creep_am
mp-1226094,CoNiPt2,Co-Ni-Pt,Co-Cr-Ni,Co+Ni,fallback_cobalt_pair_window,2,3,Excluded,False,,,,retrieval_acceptance,Returned candidate family does not match the requested family.,False,hot_section_creep_am
